stdno,allowedunits,currentunitsenlisted
2013-98473,0,0
2014-34307,19,19
2013-98576,0,0
2003-95007,0,0
2013-98342,18,0
2011-97314,21,18
2013-67984,19,18
2012-98185,0,0
2014-99215,0,0
2011-97378,0,0
2010-58113,18,18
2013-98425,15,0
2014-45766,18,18
2011-49533,21,19
2012-98056,0,0
2012-25230,17,15
2012-28526,18,18
2012-37624,19,18
2012-52380,18,12
2014-28553,19,19
2013-41014,20,19
2010-49031,15,14
2013-05405,18,18
2011-48708,18,7
1990-45514,17,17
2014-29189,19,18
2012-28665,20,16
2014-09413,18,18
2004-40120,0,0
2012-71612,18,18
2014-65084,18,15
2013-64867,21,21
2012-65984,21,21
2011-48370,20,10
2008-24093,19,0
2011-24756,20,18
2011-64385,21,3
2014-98755,17,17
2013-66980,21,21
2014-09395,18,18
2006-56550,21,17
2012-19159,18,18
2013-12598,20,18
2008-10018,0,0
2012-15859,23,19
2006-26367,17,0
2013-43299,21,21
2013-68156,18,18
2005-95556,12,9
2013-72944,18,15
2012-47365,21,21
2008-16078,20,15
2011-41987,20,18
2014-08271,18,18
2012-25909,19,17
2013-27778,21,21
2008-07347,17,0
2011-48970,20,17
1996-59955,18,10
2014-33162,17,17
2008-08292,19,3
2009-35132,19,15
2014-50770,21,21
2005-46506,0,0
2011-45442,18,17
2011-65115,16,0
2013-05406,20,20
2006-35274,17,3
2011-32859,18,18
2014-26355,20,20
2013-08819,21,19
2011-51586,19,9
2012-29762,21,21
2013-29959,23,23
2012-07024,20,20
2013-67839,20,20
2014-48076,17,17
2011-49574,20,11
2012-17210,18,9
2011-21465,20,18
2013-68224,18,15
2014-07865,18,18
2007-65892,21,12
2007-60608,0,0
2014-10951,20,20
2012-17646,21,18
2013-06529,18,18
2010-18271,18,0
2012-48791,18,13
2013-29904,23,21
2014-98799,20,20
2012-62093,21,21
2012-19618,17,15
2014-72741,20,19
2012-38408,19,15
2005-48855,0,0
2013-06509,18,15
2012-08019,21,0
1997-38188,0,0
2014-98951,0,0
2010-04903,18,6
2009-33203,17,0
2014-28374,19,19
2010-24728,18,17
2014-98926,20,18
2014-61672,18,18
2013-70029,20,20
2013-18411,21,21
2014-41814,19,18
2012-35502,23,13
2001-44818,0,0
2011-14938,20,3
2013-20848,18,18
2010-97053,21,14
2013-17324,18,0
2005-49324,15,0
2013-65929,18,18
2012-23206,18,18
2011-64403,18,8
2012-54008,21,21
2013-98418,0,0
2014-98793,19,19
2013-98536,0,0
2014-00023,19,19
2012-37809,17,15
2014-51769,18,18
2009-17752,19,1
2006-37584,0,0
2006-35568,19,3
2012-17982,21,21
2012-04373,19,16
2014-72400,21,21
2002-67688,0,0
1993-92555,0,0
1989-91097,0,0
2012-07451,19,13
2014-32417,18,18
2009-16894,20,20
2014-98877,16,16
2014-33217,17,17
2002-29705,18,0
2005-44293,0,0
2012-10842,19,18
2013-45686,18,18
2012-69907,17,15
2013-59666,20,20
2007-62006,20,18
2014-10195,18,15
2011-53622,15,14
2013-44035,17,7
2013-06638,21,21
2006-61390,0,0
2012-19335,18,18
2008-96233,18,15
2014-48800,21,21
2014-09419,19,19
2014-84208,19,19
2011-21067,15,15
2011-27278,19,3
2011-28528,21,12
2014-57055,19,19
2010-12419,19,16
1988-40713,0,0
2013-98344,21,21
2012-98093,18,18
2013-09186,17,17
2012-37378,19,17
2013-02535,21,21
2013-02536,18,18
2011-08784,19,13
2013-06803,21,19
2012-68966,18,18
2011-48338,19,1
2014-99011,0,0
2014-42170,19,19
2014-72630,19,19
2006-34603,0,0
2010-57107,18,1
2008-35222,0,0
2010-97027,19,0
2011-62079,17,15
2011-48337,19,12
2013-98224,16,6
2014-98943,0,0
2014-09439,18,18
2010-19921,20,20
2014-42348,19,19
2014-72560,18,18
2014-09468,18,18
2014-42349,19,19
2011-48813,18,18
2013-64872,18,18
2014-29718,18,18
2013-65203,20,18
2011-37519,18,0
2012-01809,18,0
2013-08932,21,21
2013-68225,17,17
2011-48831,18,8
2011-28951,16,0
1990-91280,0,0
2011-48731,20,11
2013-08144,21,21
2011-24341,15,12
2012-58753,18,15
1976-18394,0,0
2013-40832,20,18
2004-05395,0,0
2014-71393,18,18
2010-43685,18,12
1997-40281,0,0
2012-97932,19,19
2014-98875,16,14
2011-63101,18,9
2011-18664,16,0
2013-09108,18,18
2011-48832,18,6
2001-64098,0,0
2002-96267,0,0
2013-98225,15,3
2013-98226,16,12
2014-70979,18,18
2011-62649,20,9
2010-39275,18,4
2013-08611,21,20
2012-37850,21,21
2011-97485,18,21
2005-63864,0,0
2010-96919,18,6
2014-51626,17,17
2010-31189,16,3
2014-72066,17,17
2010-34211,19,3
2013-68226,18,0
2014-71391,19,15
2014-99045,0,0
2005-66496,0,0
2013-31024,18,18
2014-23551,18,15
2014-09011,19,19
2013-06834,18,18
2012-15578,18,18
2010-20760,16,0
2014-25332,18,18
2014-04110,19,19
2011-62127,18,18
2013-56443,18,18
2013-07533,17,15
2014-98947,0,0
2013-98345,20,18
2014-26774,18,18
2012-63801,15,14
2014-67207,20,20
2014-09239,18,18
2012-18873,23,14
2014-99155,0,0
2012-68589,18,18
2012-19870,21,16
2007-65807,16,0
2005-47824,0,0
2009-17247,18,18
2013-64089,18,18
2014-47659,19,19
2014-38842,17,17
2014-98876,16,13
2005-56643,0,0
1991-05432,0,0
2011-16455,15,0
2012-37849,18,12
1997-40560,0,0
2005-43021,0,0
1999-27912,0,0
2011-49000,12,0
2013-06721,18,18
2004-95068,0,0
2013-62585,18,18
2014-98720,19,19
2014-20692,19,18
2013-01658,18,15
2011-62126,20,0
2010-44662,21,0
2012-59078,12,11
2014-59507,19,19
2011-38256,18,0
2013-68263,21,21
2012-59088,15,14
2013-37828,19,17
2004-36550,20,19
2013-06516,18,18
2013-98579,18,18
2010-04493,18,18
2011-06719,18,6
2010-24066,21,21
2008-08298,18,0
2005-16650,0,0
2012-14094,18,13
2013-98672,0,0
2013-98227,16,6
2010-97232,0,0
2011-02992,15,15
2014-05219,18,18
2014-71167,20,20
2009-96627,0,0
2014-09397,18,18
2011-48629,15,15
2012-18755,21,15
2012-06997,18,18
2012-97933,21,21
2014-05399,20,20
2012-19284,20,20
2010-41390,12,0
2013-51302,20,20
2013-68227,18,18
2005-16137,0,0
1991-46703,0,0
2014-53753,18,18
2005-65377,0,0
2013-08397,18,17
2012-28182,21,21
2012-72422,20,20
2012-28527,17,15
2011-27056,18,18
2013-07800,18,18
2012-17649,18,18
2010-42101,21,18
2010-41351,19,3
2003-24250,19,0
2006-48638,16,0
2014-08100,18,18
2013-71334,21,21
2011-27341,19,9
2014-98742,18,18
2011-40847,18,12
2014-30311,18,17
2012-16134,20,16
2012-25155,18,9
2006-81590,18,15
2013-11920,18,18
2014-44765,20,20
2011-23779,19,0
2012-10062,20,18
2014-82983,19,19
2009-12061,15,14
2011-43784,15,0
2014-98878,16,13
2013-98508,0,0
2011-29868,17,0
2014-98879,12,11
2010-34454,19,9
2003-27226,0,0
2014-30020,19,19
1982-41187,0,0
2004-44904,21,9
2014-40849,18,18
2012-37810,15,15
2012-65994,18,13
2013-09397,20,20
2004-39317,0,0
2012-17297,21,21
2014-98766,19,18
2011-20708,15,15
2013-72480,21,21
2014-05773,17,15
2011-12973,20,15
2013-05410,21,21
2011-41118,18,18
2009-41306,0,0
2014-08779,19,19
2014-98984,0,0
2009-24220,19,0
2014-33044,18,18
2012-19988,18,9
2012-21190,18,18
2009-12372,19,0
2012-59079,20,20
2012-01079,19,15
2012-48161,18,15
2013-06797,18,18
2014-70262,21,20
2011-18495,21,21
2012-13727,19,18
2012-97934,15,12
2006-64899,18,3
2012-02695,21,21
2009-17514,18,16
2012-17623,21,16
2014-08078,18,18
2010-39044,20,20
2013-98346,18,18
2012-37186,19,18
2014-01059,18,18
2010-13447,16,10
2014-41350,18,18
2013-17110,21,21
2012-48268,15,15
2013-30534,20,18
2013-30535,23,22
2011-97752,0,0
2010-97209,21,9
2012-37411,19,18
2011-97532,18,4
2014-99063,0,0
2013-38254,19,17
2012-08031,17,14
2010-96920,21,21
2010-26673,20,18
2013-09021,21,21
2014-73213,21,20
2014-05857,19,19
2010-32400,18,15
2013-08830,21,19
2012-37397,18,18
2010-21495,19,5
2014-27435,18,18
2010-57054,18,6
2012-16904,18,16
2012-06468,19,19
2014-08778,19,19
2012-42503,21,0
2014-42337,19,19
2012-29583,18,15
2010-18273,16,14
2008-09301,18,4
2014-05774,17,15
2004-39527,0,0
2014-06929,18,18
2013-29905,18,18
2013-98635,0,0
2007-19162,0,0
2010-02669,21,11
2010-51078,21,3
2014-33432,20,19
2012-40296,17,15
2012-38166,21,19
2011-28532,18,6
1987-39246,0,0
2014-48578,19,19
2010-40747,18,9
2014-14728,17,17
2014-15949,19,19
2014-98974,0,0
2012-07589,18,12
2014-22050,17,17
2003-96562,0,0
2012-14605,18,6
2007-30472,0,0
2010-08621,18,7
2014-98979,0,0
2013-09906,20,18
2013-01994,18,18
2012-47882,18,11
2013-19755,20,19
2011-26628,16,15
2012-17650,20,9
2013-70839,20,18
2014-99110,0,0
2013-29433,18,18
2012-38478,18,18
2013-18412,18,18
2013-61163,19,14
2012-52783,15,0
2014-52169,17,15
2013-27807,21,21
2011-72201,21,12
2013-03214,18,18
2014-14092,21,21
2012-15751,19,17
2012-97935,18,12
2009-08918,18,15
2014-60277,19,19
2013-58957,18,18
2009-30091,18,11
2011-19542,18,4
2013-25301,20,20
2012-34845,21,21
2009-36164,0,0
2013-18413,21,21
2013-70880,23,23
2014-99218,19,18
2009-45731,19,0
2014-08615,19,19
2012-09042,21,0
2013-98347,21,21
2014-70952,20,20
1998-90049,0,0
2011-11683,16,12
2014-61679,18,18
2012-17366,17,15
2012-37829,19,17
2013-16826,21,18
2013-08746,18,18
2014-71945,20,20
2011-48440,21,19
2013-04666,18,18
2012-47286,21,14
2001-95826,0,0
2011-62174,20,8
2004-41382,0,0
2014-41173,20,20
2012-17905,19,19
2013-34838,21,21
2011-06243,18,7
2013-41013,18,0
2007-56991,16,6
2011-20894,18,18
2012-41130,15,0
2012-98143,0,0
2011-54906,20,18
2014-48935,19,19
2014-77084,20,20
2013-39031,21,21
2012-71086,19,19
2014-84039,21,21
2013-30938,17,17
2014-14094,18,17
2012-26607,15,14
2014-20843,20,20
2013-39322,20,20
2012-11292,18,6
2013-68229,18,18
2004-29790,0,0
2010-00267,19,16
2011-33009,18,9
2014-40851,18,18
2014-98828,18,17
2005-46728,0,0
2014-72260,20,20
2010-97136,0,0
2012-47168,18,3
2013-98505,0,0
2009-96765,0,0
2013-30730,17,17
2011-49001,21,13
2014-43233,18,18
2013-73163,18,16
2014-99087,0,0
2014-26151,18,18
2012-07802,18,18
2012-30765,20,19
2012-63544,15,15
2012-49764,18,8
2010-19924,19,4
2013-28904,23,16
2012-59382,21,18
2014-53229,18,18
2013-09008,18,18
2014-99061,0,0
2012-15848,21,20
2012-37887,12,12
2010-57063,21,12
2013-06363,23,23
2012-13276,19,12
2011-00173,13,6
2012-38578,19,17
2014-09445,20,20
2011-27706,21,0
2010-42098,18,9
2008-61180,0,0
2012-06698,19,19
2014-70492,18,18
2010-15174,21,18
2012-18189,18,18
2013-98229,16,9
2010-41665,18,1
2013-07828,19,18
2005-46887,0,0
2008-37120,0,0
2014-65058,19,17
2011-52114,19,0
2012-15035,15,15
2009-32161,21,6
2012-55374,18,13
2014-73884,18,18
2012-39407,20,20
2007-07142,18,0
2014-78455,18,18
2014-08945,18,16
2010-13270,18,15
2007-96011,17,0
2014-76506,19,19
2013-08053,21,21
2011-21406,18,0
2012-07713,18,15
2011-97707,0,0
2014-47141,19,15
2011-50392,18,3
2014-70715,18,18
2014-70746,19,19
2011-97564,21,21
2014-99050,0,0
2014-72455,17,17
2012-66157,21,9
2012-60442,19,15
2011-97553,21,0
2010-29056,19,9
2014-99192,0,0
2012-42326,12,11
2014-83970,20,18
2010-47846,0,0
2013-06969,15,13
2009-10061,10,0
2012-29610,21,18
2008-38003,18,15
2013-98535,0,0
2013-15621,23,23
2014-57059,20,20
2010-10132,18,3
2010-97293,0,0
2009-51603,19,0
2011-04809,19,3
2005-42889,0,0
2010-00216,21,12
2014-26660,19,18
2013-20585,18,18
2011-62128,20,20
2012-97863,0,0
1989-31891,0,0
2013-68071,21,21
2014-20655,18,18
2013-10325,21,21
2011-11912,18,6
2012-53464,20,20
2012-40762,21,21
2012-55834,23,16
2012-98140,0,0
2012-19244,18,18
2009-64532,0,0
2007-66224,0,0
2014-08748,17,17
2011-48789,19,0
2014-72303,18,18
2006-35711,0,0
2009-60864,19,0
2011-65247,18,12
2012-13300,20,19
2011-97347,21,20
2014-16534,20,20
2012-18355,18,18
2014-71974,20,19
2012-47161,15,14
2001-55045,21,13
2010-97280,19,0
2014-44978,17,16
2014-98880,15,13
2012-37621,19,19
2012-59999,18,15
2014-48713,20,20
2007-06246,0,0
2014-24521,20,20
2013-66774,15,13
2009-19528,18,3
2010-19926,19,3
2010-28399,18,18
2010-36592,21,16
2013-09811,18,15
2014-61361,18,18
2012-24766,18,13
2014-60632,17,17
2013-29752,18,18
2012-29108,15,14
2013-09214,18,0
2012-19722,21,18
2014-72639,17,17
2011-00649,20,18
2013-00863,18,18
2010-97270,0,0
2011-13989,20,17
2013-10467,21,21
2013-74107,18,15
2006-61645,0,0
2014-08736,18,18
2011-26399,18,6
2011-65201,21,18
2012-19211,21,10
2014-20594,18,18
2010-97105,0,0
2009-96608,0,0
2001-30447,0,0
2012-61937,23,21
2013-67093,21,21
2011-36853,20,2
2013-74110,21,21
2011-22627,18,7
2014-00645,20,19
2014-48769,21,21
2011-12192,17,3
2013-41991,23,23
2014-41852,18,18
2008-53100,0,0
2012-61691,20,11
2014-15820,20,19
2011-62206,17,12
2010-57223,19,0
2012-38627,15,14
2011-22444,20,6
2011-97651,19,14
2013-98349,20,18
2012-97936,18,18
2005-50078,19,0
2014-32185,20,19
2005-41234,17,0
2012-06195,19,19
2012-17212,21,18
2010-33130,16,0
2011-12959,17,6
2012-48493,21,6
2011-62096,12,11
2013-09408,18,18
2014-99120,0,0
2013-09734,21,21
2014-40763,18,18
2010-57283,15,0
2011-97325,21,21
2013-11307,17,17
2010-33309,18,0
2014-35714,20,20
2012-19361,20,16
2010-58470,22,20
2013-30111,20,19
2005-42752,19,0
2013-56502,23,23
2011-55719,20,11
2013-07389,21,21
2011-48571,19,17
2012-18797,15,11
2009-07384,15,14
2010-57112,15,6
2013-09073,15,14
2012-00821,19,18
2013-30142,20,20
2009-09871,16,7
2012-97819,16,9
2012-36073,20,19
2012-38640,15,3
2014-99130,0,0
2014-08642,18,18
2010-07773,18,3
2012-04375,21,20
2010-42649,19,3
2014-72724,18,17
2011-40201,21,21
2011-08808,18,18
2014-99208,0,0
1991-79152,0,0
2011-02974,20,10
2007-62612,20,6
2013-71380,18,18
2013-72482,23,23
2014-98882,16,14
2013-13053,18,17
2009-60875,15,14
2012-02696,18,9
2012-46101,17,15
1995-60431,0,0
2014-06675,20,20
2011-97334,21,21
2014-12165,18,18
2011-97401,0,0
2013-08149,20,20
2011-31774,21,19
2014-25863,18,18
2011-46391,18,15
2008-60086,15,15
2012-19844,19,17
2007-20564,19,6
2014-55117,18,18
2014-99213,0,0
2011-28540,12,12
2000-73613,0,0
2007-17638,0,0
2008-68857,19,4
2011-33548,20,3
2012-98121,0,0
2013-98622,18,17
2011-07468,19,18
2014-47660,19,17
2012-97938,21,12
2014-69432,19,19
2014-99270,0,0
2011-33539,18,18
2014-53693,18,18
2007-66013,21,13
2009-17554,18,12
2012-13863,20,18
2013-36476,18,15
2013-16222,21,21
2006-12182,17,11
2013-29119,18,18
2009-30223,18,12
2014-98949,0,0
2012-97939,12,11
2013-09929,20,20
2014-98707,18,17
2011-72526,21,15
2013-35166,21,19
2013-14517,21,21
2006-23561,0,0
2012-29207,17,15
2011-15894,17,0
2012-12730,18,18
2014-72267,18,21
2014-10152,19,19
2013-08544,21,21
2011-48972,12,12
2012-02843,18,13
2014-83190,19,17
2013-24380,21,21
2014-26990,19,19
2008-01882,21,19
2012-41633,18,14
2012-18268,21,21
2014-40782,19,19
2012-05330,18,13
2012-61697,21,0
2013-06593,21,19
2011-23308,12,11
2014-01816,18,18
2010-03822,18,12
2008-62587,19,15
2012-37413,18,12
2014-72426,18,18
2014-65852,20,20
2014-00289,19,18
2013-06674,17,17
2013-10758,17,17
2012-97940,18,6
2013-24719,20,18
2013-08178,18,0
2012-22066,18,9
2013-16679,21,21
2014-04115,15,14
2013-02236,18,18
2014-08769,19,19
2010-10286,16,0
2012-62925,18,15
2012-13341,20,20
2012-37271,15,15
2014-31625,19,19
2012-03116,21,12
2012-18948,15,15
2010-42042,12,12
2014-72388,19,18
2011-22170,21,9
2013-43495,23,19
2012-12034,21,0
2014-23224,18,18
2009-01157,0,0
2013-11833,21,21
2014-48679,18,18
2014-26951,20,20
2013-00699,17,16
2014-19881,19,19
2010-42086,21,19
2012-31198,18,15
2012-17533,21,0
2012-38742,12,11
2004-39647,18,18
2014-23554,19,19
2014-31650,18,18
2014-09833,17,17
2012-81159,0,0
2009-32497,15,9
2013-63068,21,21
2012-18985,20,16
2012-01247,18,3
2012-19521,19,12
2014-82999,18,18
2014-84047,18,18
2011-22042,21,0
2010-62608,15,15
2014-72513,17,17
2009-17093,18,6
2014-26776,19,19
2012-18294,18,3
2004-00345,0,0
2012-62825,21,12
2011-20632,16,0
2002-49106,19,6
2014-71745,18,18
2003-54927,0,0
2014-60905,18,18
2011-05288,19,0
2006-95697,15,3
2012-07506,18,18
2012-48275,20,18
2011-62499,16,3
2013-37694,19,19
2011-01452,18,0
2011-42043,21,18
2011-08786,19,13
2014-21384,17,17
2009-37831,20,9
2012-18634,19,10
2012-18947,12,12
2012-27133,23,19
2014-53918,21,21
2011-50947,18,3
2011-46532,19,18
2010-55381,18,0
2014-22157,17,17
2012-97945,18,6
2006-35727,0,0
2008-03685,0,0
2011-97480,18,3
2013-39717,17,17
2012-37436,19,16
2010-19939,21,3
2013-61871,18,18
2008-62163,21,6
2014-19882,19,19
2008-37370,15,12
2012-14951,19,17
2014-35419,18,18
2012-43864,21,7
2009-28590,16,0
2011-43215,19,6
2012-02744,20,17
2011-20036,16,0
2014-32426,18,15
2012-69901,19,17
2012-38480,20,20
2014-98953,0,0
2013-55297,15,15
2012-17624,21,21
2014-41124,18,18
2013-15286,18,18
2012-47719,21,12
2010-39287,18,9
2012-34969,18,18
1999-44526,0,0
2014-26777,18,18
2007-22526,21,6
2007-67790,0,0
2014-05521,19,18
2013-08055,18,18
2011-24633,20,14
1999-48310,0,0
2001-45618,0,0
2011-56627,18,3
2009-36089,20,10
2007-69740,21,0
2013-09753,12,11
2013-08277,18,18
2005-07671,0,0
2014-83000,20,19
2013-32661,21,21
2013-01102,19,19
2005-59162,0,0
2014-43480,20,19
2014-43209,20,20
2013-98351,21,21
2011-11655,15,14
2008-05299,21,3
2012-28892,17,15
2013-11291,21,21
2014-05861,19,19
2013-40846,21,21
2012-97848,0,0
2013-09128,18,18
2013-00207,18,9
2006-40497,0,0
2010-43645,16,0
2012-63519,19,17
2012-10737,21,9
2011-02975,18,18
2014-98883,16,16
2011-62029,19,0
2013-08539,17,15
2010-51758,19,6
2013-49693,21,21
2012-40315,21,21
2010-19178,21,12
2012-20501,21,21
2011-31068,19,10
2014-51656,18,18
2008-09751,20,3
2011-47289,15,0
2013-98352,18,18
2014-83730,20,14
2006-95679,21,19
2010-97159,0,0
2011-04665,19,15
2013-68110,20,20
2013-31631,20,20
2014-72348,21,21
2014-70186,18,17
2011-64189,18,18
2013-08493,18,18
2014-08103,20,20
2014-09398,20,20
2010-37786,19,8
2013-09661,21,21
2013-10123,17,17
2012-17985,20,16
2013-00749,21,18
2011-62205,20,9
2005-48724,0,0
2012-59450,15,14
2010-57251,18,18
2014-42351,18,18
2012-98065,0,0
2010-43857,22,13
2009-58108,21,9
2014-81834,20,20
2013-55300,20,18
2014-62014,19,18
2007-26876,20,6
2009-96593,18,6
2013-01239,21,21
2011-29265,15,15
2011-97420,0,0
2009-57505,18,18
2013-20496,18,15
2011-62456,19,11
2012-77421,19,18
2010-97061,15,0
2012-37244,19,17
2008-09944,0,0
2011-46227,16,0
2004-95030,0,0
2014-24192,18,18
2013-52486,20,20
2010-52680,19,0
2008-96357,0,0
2014-72742,19,19
2008-36730,0,0
1995-58588,0,0
2014-33932,18,18
2012-47880,21,21
2013-10896,18,18
2011-62073,19,18
2011-61370,15,15
2006-64889,0,0
2014-98772,18,18
2008-48825,18,0
2013-63433,19,0
2013-30941,18,0
2014-99085,0,0
1989-42014,0,0
2013-28572,18,18
2013-29961,19,17
2012-18848,21,21
2011-33923,20,6
2013-40616,20,18
2012-38410,21,20
2011-21205,17,15
2014-98981,18,18
2014-46138,18,18
2012-13373,21,21
2008-46188,0,0
2014-13529,19,19
2013-55302,18,18
2014-29730,18,18
2012-16939,18,12
2013-40836,21,21
2013-12704,20,20
2012-43209,21,10
2006-71163,21,0
2014-38592,19,18
2013-65127,12,11
2009-37832,21,12
2013-45846,19,18
2010-96922,21,19
2008-35914,19,6
2014-77380,19,19
2014-99121,0,0
2007-17764,0,0
2012-37596,18,9
1992-92029,0,0
2014-40856,19,19
2012-97941,18,18
2014-98721,19,18
2013-06419,21,21
2012-19867,18,18
2009-19427,21,16
2013-37688,17,17
2005-43323,0,0
2013-98499,0,0
2013-36740,23,20
2013-05420,20,20
2009-60269,18,6
2014-14731,20,20
2012-38757,21,21
2012-77305,19,9
2005-47018,18,0
2007-16429,15,8
2012-38955,18,18
1991-91830,0,0
2013-07429,21,21
2011-22449,20,16
2011-49156,17,0
2013-74096,21,21
2012-17988,18,13
2012-02019,18,6
2014-18109,21,21
2012-30304,18,12
2006-39240,0,0
2013-07457,20,20
2010-53707,19,0
2014-09437,20,20
2011-22089,18,18
2006-69399,0,0
2014-35121,17,17
2002-61885,0,0
2010-97045,21,4
2010-97049,21,18
2009-35454,16,0
2010-57242,20,18
2008-41028,17,0
2011-12766,16,0
2011-41112,20,16
2005-24582,20,9
2012-04449,20,20
2014-72301,18,18
2011-63548,18,18
2006-39589,19,0
2013-05909,17,16
2014-43743,21,18
2004-95297,0,0
2012-38455,21,15
2014-98884,16,16
2008-37447,21,18
2014-09399,21,21
2001-46161,0,0
2006-39892,0,0
2013-08927,18,18
2011-16491,18,18
2013-52053,19,18
2011-49141,20,19
2013-56985,17,17
2013-06886,23,21
2011-63119,18,6
2003-49709,0,0
2013-09022,18,18
2010-41641,12,11
2012-15223,21,18
2013-68073,20,13
2012-97820,16,7
2013-07659,21,21
2008-38595,0,0
2014-98790,19,19
2013-11430,17,17
2012-48452,17,17
2009-60749,19,0
2014-70034,18,17
2014-98885,16,12
2014-98750,17,15
2012-52554,18,13
2012-52553,20,19
2011-50661,12,0
2014-71928,18,17
2014-47430,18,18
2012-47356,20,20
2012-02342,23,19
2010-55650,19,10
2012-38345,20,19
2013-46068,18,8
2011-56702,20,11
2013-09663,18,18
2012-51627,19,19
2011-07358,17,15
2012-05436,21,16
2006-12836,0,0
2011-42878,21,20
2013-61285,20,18
2013-98230,16,10
2012-97868,12,12
2006-35839,0,0
2005-46390,0,0
2003-56975,0,0
2012-37907,21,13
2011-18669,21,10
2012-08343,21,19
2011-28848,20,2
2011-97435,0,0
2012-19104,18,15
2014-09010,18,18
2012-51182,19,18
2014-99073,0,0
2010-43389,18,1
2013-08678,21,21
2014-71837,19,19
2011-25398,18,3
2012-04451,19,17
2001-64611,0,0
2014-05779,17,17
2014-72202,18,18
2012-60002,18,9
2011-04783,18,0
2013-98609,0,0
2010-24944,19,12
2014-98886,15,14
2013-48220,21,21
2012-97942,18,15
2012-16116,19,15
2014-98824,18,18
2014-71147,18,18
2012-39654,18,15
2014-63426,18,18
2014-30949,19,19
2014-45261,21,21
2003-56295,0,0
2013-07868,21,21
2005-45480,0,0
2014-23045,17,17
2014-21147,18,15
2012-24845,20,18
2013-11361,18,18
2014-41529,18,18
2013-08445,18,15
2004-02417,0,0
2012-98108,0,0
2013-08670,18,0
2014-08272,21,19
2011-21926,20,20
2011-05005,18,4
2011-51766,21,15
2012-17768,18,18
2010-31662,16,10
2005-42408,0,0
2012-29211,20,19
2011-51767,21,18
2009-47229,17,9
2014-41127,18,18
2014-41128,18,18
2010-29721,19,6
2013-28546,21,21
2013-09765,18,18
2014-28558,19,19
2012-17306,18,18
2013-32436,18,18
2011-45451,15,12
2010-42760,21,13
2010-29722,21,18
2012-12269,18,12
2001-60946,0,0
2013-55306,18,18
2014-71913,18,18
2014-38801,20,20
2013-42255,19,15
2006-59286,0,0
2014-98888,16,16
2013-41681,21,21
2013-68075,18,18
2014-99190,0,0
2014-14746,18,18
2014-69314,21,20
2010-37789,12,6
2013-41612,18,18
2014-11690,17,17
2004-68194,0,0
2009-60330,19,0
2010-30532,15,15
2014-98887,16,14
2012-34447,12,12
2013-22076,18,15
2014-14733,19,19
2013-98356,19,18
2014-71853,19,19
2009-05809,21,6
2011-27016,16,0
2012-29215,20,20
2009-18244,21,19
2013-09009,21,21
2014-00215,22,6
1993-92739,0,0
2010-36502,20,19
2011-01572,17,15
2012-51178,20,19
2012-98101,0,0
2014-47630,19,19
2012-19405,17,16
2011-34153,18,18
2009-34160,0,0
2010-52514,22,16
2001-60910,0,0
2013-29619,18,18
2013-33796,19,16
2012-17192,19,17
2013-23868,20,18
2011-62347,18,16
2014-84230,18,18
2013-98593,0,0
2013-98538,16,6
2013-20187,21,21
2014-68100,18,18
2012-20998,19,18
2012-59452,19,17
2013-98541,0,0
2011-97455,21,21
2009-11222,17,6
2010-51831,19,8
2013-09162,12,11
2012-32631,21,20
2014-98963,0,0
2012-21605,18,16
2012-04163,19,18
2012-37357,21,21
2012-37811,21,21
2010-18275,21,18
2014-98889,15,14
2012-97943,18,18
2014-53500,20,19
2014-72483,21,21
2014-98890,16,16
2013-36170,21,21
2014-49092,19,19
2009-02981,19,0
2009-96850,0,0
2014-70684,19,19
2014-41130,18,18
2013-57273,18,18
2010-18276,21,15
2012-53012,18,18
2011-28152,12,6
2012-66467,19,14
2014-98954,0,0
2010-28836,18,0
2008-37382,18,0
2006-39587,20,20
2014-72694,20,20
2013-03385,18,18
2014-30621,21,21
2008-96234,21,19
1989-16751,0,0
2014-43277,18,18
2012-11200,18,13
2009-55299,19,9
2010-31093,15,12
2009-08959,19,0
2011-72194,21,21
2011-49809,21,0
2006-61760,19,6
2010-17329,19,0
2014-70954,15,14
2012-15030,21,16
2011-57026,16,0
2014-08037,18,18
2009-17440,17,3
2012-31200,19,10
2012-36889,18,8
2011-49430,20,8
2003-55760,0,0
2012-18822,23,15
2012-97821,15,4
2014-57280,15,15
2012-36957,19,19
2012-38482,19,13
1971-91841,0,0
2012-17656,18,6
1999-27237,0,0
2004-67867,0,0
2013-98231,16,15
2010-19828,21,21
2012-38483,21,21
2014-08135,18,18
2010-97175,0,0
1987-38873,0,0
2013-09766,21,21
2012-67126,21,19
2006-38326,0,0
2013-09206,12,12
2014-99271,0,0
2012-35916,21,20
2010-12519,16,0
2011-48835,19,3
1996-39871,17,0
2014-84167,19,17
2009-19509,21,12
2011-50807,19,18
2013-22429,18,0
2014-07607,20,20
2014-99118,0,0
2012-58943,21,19
2011-04764,19,10
2013-59714,18,18
2014-35169,21,21
2014-99171,18,18
2010-43707,20,18
2009-29900,19,6
2011-21207,21,13
2005-42859,0,0
2014-36211,20,20
2011-65117,24,17
2014-09425,19,19
2014-71369,18,18
2001-95973,0,0
2012-44885,15,14
2008-14075,19,0
2013-61785,15,15
2013-54412,23,22
2013-46168,17,15
2014-60696,19,19
2014-09642,17,17
2010-96923,18,9
2010-10932,20,19
2011-11782,21,0
2011-19508,21,15
